,Narratives,Synopsis
0,"on the arrival we were busy on the tcas as there were multiple targets in our general vicinity when were given 6,000 msl. we were then given a descent to 5,000. upon landing i was told to call the tracon and was told i violated an altitude. after examination of the situation, we either answered a descend to 5,000 ft clearance intended for another airplane or replied to the clearance to descend to 6,000 ft and put 5,000 ft in the altitude window in error.     in either situation there was a conflict with other traffic and i understand it is not acceptable. i will request a copy of the tape for my own personal use and possible training to other people in the future. to prevent this from happening in the future i will make sure to look at the altitude window and point to verify the altitude assigned and not just repeat without visual confirmation. i am personally and professionally embarrassed by this mistake.,...while we were descending to 6,000 ft we were cleared to 5,000 ft and when we were at 5,000 ft we got an ra on the tcas and right after that we were assigned to turn left to a heading of 270 to avoid traffic.","a be-40 flight crew experienced a tcas ra when they descended to 5,000 when cleared to 6,000."
1,"we performed the pre-flight inspection of the aircraft and found no discrepancies. i was functioning as the cfi for the pilot flying who was a certificated private pilot, instrument rated, and with a prior endorsement for complex and high-performance aircraft (asel) operation.    after our engine run-up, we were cleared for take-off. the aircraft accelerated normally however shortly after we began our takeoff roll, the nose gear retracted and the propeller struck the runway. the fuel and electrical were immediately shut off and the tower was notified. we immediately noted that the gear handle was in the up position.     at no time did either pilot move the gear handle. the aircraft checklist was used for all phases of flight; however, the up-position of the gear handle was apparently missed. i believe that somehow the gear was placed in the up position prior to our flight and this was simply overlooked by both of us.    contributing factors included not following the initial checklist to the letter which called for confirming that the gear handle was in the down-position and the incorrect expectation that an aircraft which had been flown earlier in the day would not be expected to have the gear-handle in the up-position.,[no substantive additional information was provided in the secondary narrative.]",when the instructor and student pilots' aboard a c172rg failed to note the gear switch was in the up position prior to starting their takeoff roll they experienced the collapse of the nose gear and a sudden engine stoppage when the prop struck the runway.
2,"lft has an fdc notam which indicates as follows: lft 01/006 lft rwy 4r/22l ne 1433 clsd wef 1201xxxxx. my flight was instructed to taxi to and hold short of runway 22l via taxiway foxtrot, lima, hold short of runway 22l at lima. i complied with the taxi instruction. due to our five hour weather delay caused by the approaching weather system which concerned me as causing the possibility of windshear, i desired to use as much runway as practical for my departure. once prepared for takeoff, i advised my first officer to request a back-taxi from the control tower on [runway] 22l. we were given a clearance to back-taxi on runway 22l, cleared for takeoff, climb and maintain 2,000 ft, and maintain runway heading. when i began my back-taxi, i noted that there were no runway markings identifying the closed portion of the runway. there were barricades which closed portions of taxiway juliet, but i was using taxiway lima anyway. there was a displaced threshold which was marked by the yellow chevrons which we are all accustomed to. there was a white line at the end of the displaced threshold (also typical of any other displaced runway threshold of which i am familiar with). i taxied across the white line while looking for some identifiable marking to indicate to me at which point i should make my turn around. as i continued across the white line, it began to become apparent to me that i could not see anything identifying where the runway closure began or ended. since i was on a displaced threshold and since the control tower had cleared me for the back taxi, i believed that i was utilizing the open portion of the runway. at some point after crossing the white line, i realized that i was not going to be able to identify the beginning of the closed portion of the runway, at which point i made my 180 degree turnaround and began my reduced thrust takeoff run without incident. at no point in time did atc ever instruct me to stop or turn around. if i did in fact encroach on any closed portion of the runway, it was purely due to the lack of proper runway markings to identify where the closure began. since it is obviously ridiculous to assume that i can accurately gauge 1,433 ft from the cockpit without a distance measuring device, then i think it's fair to say that it is impossible under the circumstances that i have just described to positively identify the proper end of the runway acceptable for use for takeoff. if you compound these factors, with my weather, schedule delays, and windshear concerns, then it is easy to understand how something like this situation can be overlooked. i truly do hope that the airport manager at the lafayette regional airport in lafayette, louisiana would make a better effort at insuring that the runway environment is properly identified. furthermore, it would be nice to see them actually open the runway up completely once again. i am very familiar with the field and yet it seems like every time i fly in, there is some new part of the airport notam'ed out of service.","a corporate pilot reported that he was unable to determine where the closed 1,433 ft of lft runway 22l began while back-taxiing from taxiway l toward the runway's end."
3,"flight crew briefed and understood the ruudy4 departure from teb prior to takeoff, including engagement of the autopilot before the first level-off (wentz). departure was properly loaded in fms. after takeoff, at approximately 500 ft msl, the fms automatically switched from hdg mode to lnav mode, as the crew had briefed and expected.    in capturing the lnav mode, somewhere between 1.3 and 2.3 miles on the departure, the flight director commanded an initial turn to [toward] the 260 heading [track] before correcting back to the 240 heading. during this time, the pilot flying followed the command bars, turning to the 260 heading before the charted intercept from the 240 heading. atc queried if the aircraft was on the departure and said it looked like we had turned too early. at this point the pilot flying returned to a 240 heading to rejoin the departure.    while i responded to the radio call i also noted that the pilot flying had climbed to an altitude of 1,600 ft msl and made the statement \altitude.\ the pilot flying corrected to 1,500 msl. the altitude situation could have been avoided by engagement of the autopilot at 1,000 ft, as briefed prior to takeoff. the aircraft avionics did try to make an abrupt capture and would have caused the airplane to turn off course even if the autopilot had been engaged.     better situational awareness on the part of flight crew would have lead the pilot flying to follow the departure procedure as depicted on the chart rather than relying solely on the command bars.","a momentary erroneous right turn command as the fms transitioned from heading to lnav mode while flying the ruudy rnav sid from teb resulted in a premature turn to intercept the track to wentz. that distraction contributed to a small altitude deviation when the pilot flying failed to level at 1,500 ft msl as charted."
4,"after traveling internationally and requiring customs clearance upon return to the us, i felt the need to fly a gps approach, with lowest available minima and continued below those published minima in an attempt to complete the approach. the major factor in my decision was the perceived need to clear customs as pre arranged at this airport and my perception of the consequences for not doing so. my decision to \take a look\ and go below published minimums could have been a fatal. fortunately we successfully completed a missed approach and diverted to another airport where we were cleared in with no complications.     adding to the unsafe condition--which i caused--an additional consequence was that while i continued to fly the plane, it then fell to my co-pilot to concentrate on figuring out how to contact customs in order to obtain approval; essentially causing me to fly single pilot in a congested terminal area in imc conditions. atc played a vital role in obtaining approval from customs for us to clear at our diversion airport. they should be commended for their assistance. by so doing they allowed my copilot to return his attention to flying the plane.    conversely, however, the controller also informed me that customs would not agree to allow us to land at a much closer international airport and required us to continue to the much smaller airport at a further distance. in this case no accident or incident occurred and everything worked out fine, however i think something should be done to give pilots the option of diverting to an acceptable airport without concern for repercussions from the customs and immigrations officials. while i do not condone going below published minima i understand my decision to do so in order to not create complications with customs and border protection.",a gulfstream flight crew felt compelled to descend below minima at their destination due to their belief they must clear customs as pre-arranged. after going around they diverted to another airport where they cleared without delay.
5,"we inadvertently installed # 2 slat that turned out to be 'not-effective' for our aircraft because it had not been modified for the winglet modification (mod) by adding a vortilon to the leading edge. our illustrated parts catalog (ipc) showed that part number (p/n) xxx-51g was 'effective', but we missed the part about being modified for winglet aircraft. the aircraft was ferry flight back to the u.s. for final repairs in which the slats were removed again and reinstalled. the correct p/n for the modified slat is 767-xxx-51g1.     the aircraft has had the winglets installed for awhile. the winglet modified aircraft have several differences that not everyone is aware of, or even know to look for them. the aircraft never made a revenue flight before the problem was found march 2012, when the captain noticed the vortilon missing and denied the b767-300 aircraft. it was brought back to the hangar where i installed the vortilon early next morning per an engineering authorization (e/a) and a job card for modifying the slat to the [correct] configuration. i re-marked the slat with the new p/n 767-xxx-51g1, which is 'effective' for the aircraft. i then returned the aircraft back to full service. the ipc should be revised to show that only p/n (767-xxx-51g1) is effective for that aircraft, at the #2 slat position.","a line mechanic reports he was involved with inadvertently installing a leading edge slat on a b767-300 aircraft that was not 'effective' for the #2 slat position. the slat had not been modified for winglet modified (mod) aircraft, which required adding a vortilon to the leading edge."
6,"a md88 was on final approach to runway xxr, about a 12 nm final. we were notified that an md80 was returning to the airport with smoke in the cockpit, he had just departed the airport about 2 minutes prior. i pulled his tag up and he was about 5 nm west of the airport on a modified downwind to runway xxr. the final controller called and told me to put the md88 on runway xxl that the md80 was going to runway xxr. i cleared the md88 for a visual approach to runway xxl and also cleared him to land. there was a military exercise going on in the uncontrolled area between runway yy and runway xxl. this exercise required several cfr vehicles to be attendant to the exercise for fire safety during the operations. when i got word about the emergency aircraft, i called the fire truck and told him about the emergency. the fire truck was also at the military ramp and requested to transition to the west side of the airport where the emergency md80 would be landing. i told the fire truck to cross runway yy and runway xxl. about ten seconds later i noticed the md88 flaring out over the numbers on runway xxl. the fire truck had just crossed runway yy and was about 500 ft from the intersection of taxiway c and runway xxl when the md88 crossed the same intersection. i reiterated for the fire truck to cross runway xxl and contact ground control (gc) on the other side. although the timing was such that the fire truck could not have made it to the intersection to be a factor for the md88, it still startled me and i realized that there was a potential for a serious runway incursion. added to this scenario were two runway yy arrivals, frequency confusion with cfr command, and the emergency md80. this plus the fact that two cfr vehicles were in a different place than usual contributed to the work load. i should have kept my arrival pad up to date and noted the fact that the md88 was now going to runway xxl and not runway xxr. this would have been a visual clue that runway occupancy would have prevented me from crossing the fire truck. i also used incorrect phraseology/procedures in issuing two crossing clearances in one transmission to the fire truck. adherence to proper phraseology would have given me a second opportunity to ensure runway separation.,[narrative #2 had no additonal information.]","tower controller described an unsafe event involving runway crossings, several emergency vehicles participating in a military exercise, and other emergency vehicle responding to an inbound emergency air carrier aircraft."
7,"a b737 was at 110. his data block had a trailing r, which is supposed to indicate the aircraft is on an rnav sid, in this case the ceeme1 arrival. this aircraft was supposed to be on the fernando5 arrival, due to an equipment issue with their fleet. when i inquired as to which arrival the b737 was on, the pilot replied the fernando5 and that they were issued \a screwed up routing to get there\. i reported the anomaly to my flm, who contacted zla. the response was \the b737 cannot get rid of the trailing r and zla will not remove it either. the sct controllers will need to verify that the b737 aircraft have the appropriate arrival. a bad situation gets worse with the ceeme1 arrival. we now have aircraft tagged with one arrival, but on another arrival, but we also need to verify which arrival they actually are on. turn off the ceeme1 arrival completely until it cannot be fixed. it is a safety hazard in its current form. tag aircraft that are on a non-rnav sid appropriately.,[narrative #2 had no additional information.],[narrative #3 had no additional information.]",sct controller described a route discrepancy and incorrect data block information associated with one company that is causing this anomaly.
8,"cleveland was on a north flow. an ac50 was 15 miles southwest of the tower talking to radar. radar pointed the ac50 out to the tower requesting to descend into bkl on a visual approach. i accepted the point out. when ctl was about 4 miles southwest of cleveland, i had the ac50 in sight and i cleared a b737 for take off on runway headed. the b737 had a release time that i was trying to meet. it was my intention that the b737 would be airborne well in front of the ac50. the b737 did not begin takeoff roll as quickly as i anticipated. when the b737 rotated i realized that the aircraft was not ahead of the ac50. i turned the b737 northbound to 035 heading but the ac50 also turned northbound in the visual approach. i stopped the b737's altitude at 3,000 ft and turned the aircraft farther north to a 360 heading. once the two aircraft were no longer in conflict, i shipped the b737 to departure. i had both aircraft in sight at all times and i was talking to the b737 until the necessary radar separation was achieved. the incident was a poor judgment call that resulted in unsafe proximity. in the future, i will not attempt to beat an airborne aircraft with one that is still on the ground and i will take into account that the pilot will start takeoff roll at their discretion.",cle controller described a potential conflict event when he/she departed an air carrier trying to get ahead of airborne traffic landing at an adjacent airport.
9,"a glex was at 11,000 ft on the ceeme1 arrival. i asked the glex if he had the notam to depart fim vor on the 136 radial to toaks. he replied \yes\. i instructed the glex to descend via the ceeme1 arrival. he read the clearance back. i issued the glex a frequency change to the woodland sector. the glex reported with woodland radar level at 11,000 ft, when he should have been descending to 7,000 ft. this is yet another situation where the ceeme1 arrival is obviously confusing to each pilot, leaving the controllers with no idea what to expect from each aircraft. turn off the ceeme1 arrival until it can be fixed and every flight crew and controller can be properly trained.    a sr22, departed vny airport on the newhall6 departure; which calls for a turn to heading 110 and a climb to 4,000 ft. this procedurally separates vny departures from bur arrivals. the sr22, for some unknown reason, turned northbound at the glex. the valley sector controller and the woodland sector controller recognized the abnormal departure simultaneously. the valley radar controller issued an immediate right turn to the sr22 away from the glex. the sr22 and the glex were at the same altitude seconds from a nmac if not a collision. this is not the first time a vny ifr departure has misapplied the newhall 6 departure and took a left turn into the bur localizer. the newhall 6 departure needs to be looked into, and each pilot who thinks they should turn beyond h110 should be asked what they read into the sid that made them think they should turn northbound. we need to find out where the deficiency in this sid lies.",sct controller voiced concern regarding the continued confusion experienced by pilots with regard to the altitude restrictions on the ceeme1 star as well as potential conflicts with vny newhall sid traffic.
